Descricao;Valor_HM;Convenio
Cordotomia-mielotomias por radiofrequência;0,0;AMBEP
CÓRNEA;0,0;AMBEP
CÓRNEA;0,0;AMBEP
Corneto inferior - cauterização linear - unilateral;0,0;AMBEP
Corneto inferior - infiltração medicamentosa (unilateral);0,0;AMBEP
CORONARIOPATIAS;0,0;AMBEP
Corpo estranho - extração cirúrgica;0,0;AMBEP
Corpo estranho - extração endoscópica;0,0;AMBEP
Corpo estranho da córnea - retirada;0,0;AMBEP
Corpo estranho de faringe - retirada em consultório;0,0;AMBEP
Corpo estranho de faringe - retirada sob anestesia geral;0,0;AMBEP
Corpo estranho do reto - retirada;0,0;AMBEP
Corpo estranho intra-articular - tratamento cirúrgico;0,0;AMBEP
Corpo estranho intramuscular - tratamento cirúrgico;0,0;AMBEP
Corpo estranho intra-ósseo - tratamento cirúrgico;0,0;AMBEP
Corpo estranho ou cálculo - extração cirúrgica;0,0;AMBEP
Corpo estranho ou cálculo - extração endoscópica;0,0;AMBEP
CORPO VÍTREO;0,0;AMBEP
Corpos cetônicos, pesquisa;0,0;AMBEP
Corpos estranhos - retirada em consultório (nariz);0,0;AMBEP
Corpos estranhos - retirada sob anestesia geral / hospital;0,0;AMBEP
Corpos estranhos - retirada sob anestesia geral / hospital (nariz) - por videoendoscopia;0,0;AMBEP
Corpos estranhos, pólipos ou biópsia - em consultório;0,0;AMBEP
Corpos estranhos, pólipos ou biópsia - em hospital sob anestesia geral;0,0;AMBEP
Corpúsculos de Donovani, pesquisa direta de;0,0;AMBEP
Correção cirúrgica da assimetria mamária;0,0;AMBEP
Correção cirúrgica da comunicação interatrial;0,0;AMBEP
Correção cirúrgica da comunicação interventricular;0,0;AMBEP
Correção cirúrgica das arritmias;0,0;AMBEP
Correção cirúrgica de depressão (afundamento) da região frontal;0,0;AMBEP
Correção cirúrgica de ectrópio ou entrópio;0,0;AMBEP
Correção cirúrgica de linfedema (por estágio);0,0;AMBEP
Correção cirúrgica de sequelas de alopecia traumática com microenxertos pilosos (por região);0,0;AMBEP
Correção da enoftalmia;0,0;AMBEP
Correção da hipertrofia mamária - unilateral;0,0;AMBEP
Correção das dissecções da aorta;0,0;AMBEP
Correção de bolsas palpebrais - unilateral;0,0;AMBEP
Correção de cardiopatia congênita + cirurgia valvar;0,0;AMBEP
Correção de cardiopatia congênita + revascularização do miocárdio;0,0;AMBEP
Correção de defeito lateral;0,0;AMBEP
Correção de deformidade adquirida de antebraço com fixador externo;0,0;AMBEP
Correção de deformidade adquirida de fêmur com fixador externo;0,0;AMBEP
Correção de deformidade adquirida de tíbia com fixador externo;0,0;AMBEP
Correção de deformidades congênitas na perna com fixador externo;0,0;AMBEP
Correção de deformidades da parede torácica;0,0;AMBEP
Correção de deformidades da parede torácica por vídeo;0,0;AMBEP
Correção de deformidades do pé com fixador externo dinâmico - tratamento cirúrgico;0,0;AMBEP
Correção de deformidades nos membros com utilização de implantes;0,0;AMBEP
Correção de deformidades por exérese de tumores, cicatrizes ou ferimentos com o emprego de expansores  em retalhos  musculares ou miocutâneos (por estágio);0,0;AMBEP
Correção de deformidades por exérese de tumores, cicatrizes ou ferimentos, com o emprego de expansores de tecido, em retalhos cutâneos (por estágio);0,0;AMBEP
Correção de enterocele;0,0;AMBEP
Correção de fístula bronco-pleural (qualquer técnica);0,0;AMBEP
Correção de fístula bronco-pleural por videotoracoscopia;0,0;AMBEP
Correção de inversão papilar - unilateral;0,0;AMBEP
Correção de lipodistrofia braquial, crural ou trocanteriana de membros superiores e inferiores;0,0;AMBEP
Correção de pé torto congênito com fixador externo;0,0;AMBEP
Correção de rotura perineal de III  grau  (com lesão  do  esfincter)  e  reconstituição  por  plástica - qualquer técnica;0,0;AMBEP
Correção de tumores, cicatrizes ou ferimentos com o auxílio de expansores de tecidos - por estágio;0,0;AMBEP
Correção laparoscópica de incontinência urinária;0,0;AMBEP
Correção laparoscópica de refluxo vesico-ureteral unilateral;0,0;AMBEP
Correção laparoscópica de varicocele unilateral;0,0;AMBEP
Cortisol ;36,78;AMBEP
Cortisol livre;0,0;AMBEP
Costectomia (porte para 1 arco costal, 30% deste porte para cada arco adicional);0,0;AMBEP
Costela;0,0;AMBEP
Costela cervical - tratamento cirúrgico;0,0;AMBEP
Costelas - por hemitórax;70,0;AMBEP
Costelas_por hemitorax;0,0;AMBEP
Cotinina;0,0;AMBEP
Coto de amputação digital - revisão;0,0;AMBEP
Coto de amputação punho e antebraço - revisão;0,0;AMBEP
COTOVELO;0,0;AMBEP
Cotovelo;0,0;AMBEP
Cotovelo;70,0;AMBEP
Couro cabeludo;0,0;AMBEP
Coxa;0,0;AMBEP
Coxa;70,0;AMBEP
Coxa (unilateral);600,0;AMBEP
COXA / FÊMUR;0,0;AMBEP
CRÂNIO;0,0;AMBEP
Crânio - 2 incidências;70,0;AMBEP
Crânio - 3 incidências;70,0;AMBEP
Crânio - 4 incidências;70,0;AMBEP
Crânio (encéfalo);590,0;AMBEP
CRÂNIO E FACE;0,0;AMBEP
Crânio ou sela túrsica ou órbitas;380,0;AMBEP
Cranio: p.a. _ Lat.;0,0;AMBEP
Cranio: p.a. _ Lat._bretton;0,0;AMBEP
Cranio: p.a.-lat.-obl. Ou bretton-hirtz;0,0;AMBEP
Craniocorporografia;0,0;AMBEP
Cranioplastia;0,0;AMBEP
Craniotomia descompressiva;0,0;AMBEP
Craniotomia para remoção de corpo estranho;0,0;AMBEP
Craniotomia para tumores ósseos;0,0;AMBEP
Creatina;48,48;AMBEP
Creatinina;23,8;AMBEP
Creatino fosfoquinase - fração MB - atividade;0,0;AMBEP
Creatino fosfoquinase - fração MB - massa;49,5;AMBEP
Creatino fosfoquinase total (CK);37,0;AMBEP
Crescimento, hormônio do (HGH);0,0;AMBEP
Crio-aglutinina, globulina, dosagem, cada;0,0;AMBEP
Crio-aglutinina, globulina, pesquisa, cada;0,0;AMBEP
Criocirurgia (nitrogênio líquido) de neoplasias cutâneas;0,0;AMBEP
Crioglobulinas, caracterização - imunoeletroforese;0,0;AMBEP
Crioterapia (grupo de até 5 lesões);0,0;AMBEP
Criptectomia (única ou múltipla);0,0;AMBEP
Criptococo (tinta da China), pesquisa de;0,0;AMBEP
Criptococose, cândida, aspérgilus (látex);0,0;AMBEP
Criptólise amigdaliana;0,0;AMBEP
Criptosporidium, pesquisa;0,0;AMBEP
Cristais com luz polarizada, pesquisa;0,0;AMBEP
CRISTALINO;0,0;AMBEP
Cristalização do muco cervical, pequisa;0,0;AMBEP
Cromatina sexual, pesquisa;0,0;AMBEP
Cromatina X ou Y;0,0;AMBEP
Cromatografia de açúcares;0,0;AMBEP
Cromatografia de aminoácidos (perfil qualitatitivo);89,57;AMBEP
Cromo;0,0;AMBEP
Cromossomo philadelfia;0,0;AMBEP
Cronaximetria;0,0;AMBEP
Cross match (prova cruzada de histocompatibilidade para transplante renal);0,0;AMBEP
Cruro-podálico;0,0;AMBEP
Culdoplastia (Mac Call, Moschowicz, etc.);0,0;AMBEP
Culdoplastia laparoscópica (Mac Call, Moschowicz, etc);0,0;AMBEP
Cultura automatizada;0,0;AMBEP
Cultura bacteriana (em diversos materiais biológicos);0,0;AMBEP
CULTURA COM ANTIBIOGRAMA;89,9;AMBEP
Cultura de material de aborto e obtenção de cariótipo;0,0;AMBEP
Cultura de tecido para ensaio enzimático e/ou extração de DNA;0,0;AMBEP
Cultura ou estimulação dos linfócitos in vitro por concanavalina, PHA ou pokweed;0,0;AMBEP
Cultura para bactérias anaeróbicas;0,0;AMBEP
Cultura para fungos;0,0;AMBEP
Cultura para mycobacterium;0,0;AMBEP
Cultura quantitativa de secreções pulmonares, quando necessitar tratamento prévio c/ N.C.A.;0,0;AMBEP
Cultura, fezes: salmonela, shigellae e esc. Coli enteropatogênicas, enteroinvasora (sorol. Incluída) + campylobacter SP. + E. Coli entero-hemorrágica;0,0;AMBEP
Cultura, fezes: salmonella, shigella e escherichia coli enteropatogênicas (sorologia incluída);0,0;AMBEP
Cultura, herpesvírus ou outro;0,0;AMBEP
Cultura, micoplasma ou ureaplasma;0,0;AMBEP
Cultura, urina com contagem de colônias;0,0;AMBEP
Cura cirúrgica da impotência coeundi venosa;0,0;AMBEP
Cura cirúrgica de hipertensão portal - qualquer tipo;0,0;AMBEP
Curativo de extremidades de origem vascular;0,0;AMBEP
Curativo de ouvido (cada);0,0;AMBEP
Curativo de queimaduras - por unidade topográfica (UT) ambulatorial;0,0;AMBEP
Curativo de queimaduras - por unidade topográfica (UT) hospitalar;0,0;AMBEP
Curativo especial sob anestesia - por unidade topográfica (UT);0,0;AMBEP
Curativo oftalmológico;0,0;AMBEP
Curativos em geral com anestesia, exceto queimados;0,0;AMBEP
Curativos em geral sem anestesia, exceto queimados;0,0;AMBEP
Curetagem e eletrocoagulação de CA de pele (por lesão);0,0;AMBEP
Curetagem ginecológica semiótica e/ou terapêutica com ou sem dilatação de colo uterino;0,0;AMBEP
Curetagem ou ressecção em bloco de tumor com reconstrução e enxerto vascularizado;0,0;AMBEP
Curetagem pós-abortamento;0,0;AMBEP
Curetagem simples de lesões de pele (por grupo de até 5 lesões);0,0;AMBEP
Curva  I/T - medida de latência de nervo periférico;0,0;AMBEP
Curva glicêmica (4 dosagens) via oral ou endovenosa;33,68;AMBEP
Curva glicêmica (6 dosagens);0,0;AMBEP
Curva insulínica  (6 dosagens);0,0;AMBEP
Curva tensional diária - binocular;0,0;AMBEP
Dacriocintilografia;0,0;AMBEP
Dacriocistectomia - unilateral;0,0;AMBEP
Dacriocistografia;0,0;AMBEP
Dacriocistografia;0,0;AMBEP
DACRIOCISTOGRAFIA;0,0;AMBEP
Dacriocistorrinostomia com ou sem intubação - unilateral;0,0;AMBEP
Decay do reflexo estapédico;0,0;AMBEP
Dedo colo de cisne - tratamento cirúrgico;0,0;AMBEP
Dedo em botoeira - tratamento cirúrgico;0,0;AMBEP
Dedo em gatilho, capsulotomia / fasciotomia - tratamento cirúrgico;0,0;AMBEP
Dedo em martelo - tratamento cirúrgico;0,0;AMBEP
Defecograma;0,0;AMBEP
DEFEITOS CARDÍACOS CONGÊNITOS;0,0;AMBEP
Deformidade (doença) Sprengel - tratamento cirúrgico;0,0;AMBEP
Deformidade dos dedos - tratamento cirúrgico;0,0;AMBEP
Degastrogastrectomia com vagotomia;0,0;AMBEP
Degastrogastrectomia sem vagotomia;0,0;AMBEP
Deglutograma;0,0;AMBEP
Dehidroepiandrosterona (DHEA);44,0;AMBEP
Dehidrotestosterona (DHT);0,0;AMBEP
Delaminação corneana com fotoablação estromal - LASIK;0,0;AMBEP
Deleucotização de unidade de concentrado de hemácias - por unidade;0,0;AMBEP
Deleucotização de unidade de concentrado de plaquetas - até 6 unidades;0,0;AMBEP
Deleucotização de unidade de concentrado de plaquetas - entre 7 e 12 unidades;0,0;AMBEP
Deltopeitoral;0,0;AMBEP
Demarcação radioisotópica de lesões tumorais;0,0;AMBEP
Demonstração do seqüestro de hemácias pelo baço;0,0;AMBEP
Denervação percutânea de faceta articular - por segmento;0,0;AMBEP
Dengue - IgG e IgM (cada);0,0;AMBEP
Dengue, anticorpos IgG, soro;0,0;AMBEP
Dengue, anticorpos IgM, soro;0,0;AMBEP
DENSITOMETRIA ÓSSEA  (01 SEGMENTO);0,0;AMBEP
densitometria ossea - 02 segmentos;0,0;AMBEP
Densitometria óssea - 2 segmentos (coluna e fêmur);150,0;AMBEP
Densitometria óssea - corpo inteiro;200,0;AMBEP
Densitometria óssea (um segmento);150,0;AMBEP
Dental (dentascan);0,0;AMBEP
Derivação cavo-atrial;0,0;AMBEP
Derivação lombar externa;0,0;AMBEP
Derivação porto sistêmica;0,0;AMBEP
Derivação ventricular externa;0,0;AMBEP
Derivações em cirurgia fetal;0,0;AMBEP
Dermatocalaze ou blefarocalaze - unilateral;0,0;AMBEP
Dermatológico - pele e subcutâneo;0,0;AMBEP
Dermatoscopia (por lesão);0,0;AMBEP
Dermoabrasão de lesões cutâneas;0,0;AMBEP
Dermolipectomia para correção de abdome em avental;0,0;AMBEP
Desarticulação ao nível do cotovelo - tratamento cirúrgico;0,0;AMBEP
Desarticulação ao nível do ombro - tratamento cirúrgico;0,0;AMBEP
Desarticulação coxo-femoral - tratamento cirúrgico;0,0;AMBEP
Desarticulação de joelho - tratamento cirúrgico;0,0;AMBEP
Desarticulação do punho - tratamento cirúrgico;0,0;AMBEP
Desarticulação interílio abdominal - tratamento cirúrgico;0,0;AMBEP
Desbridamento cirúrgico - por unidade topográfica (UT);0,0;AMBEP
Desbridamento cirúrgico de feridas ou extremidades;0,0;AMBEP
Desbridamento do labrum ou ligamento redondo com ou sem condroplastia;0,0;AMBEP
Descolamento epifisário (traumático ou não) - redução incruenta;0,0;AMBEP
Descolamento epifisário (traumático ou não) - tratamento cirúrgico;0,0;AMBEP
Descompressão colônica por colonoscopia;0,0;AMBEP
Descompressão de órbita ou nervo ótico;0,0;AMBEP
Descompressão medular e/ou cauda equina;0,0;AMBEP
Descompressão transetmoidal do canal óptico;0,0;AMBEP
Descompressão vascular de nervos cranianos;0,0;AMBEP
Desconexão ázigos - portal com esplenectomia;0,0;AMBEP
Desconexão ázigos - portal com esplenectomia por videolaparoscopia;0,0;AMBEP
Desconexão ázigos - portal sem esplenectomia;0,0;AMBEP
Desconexão ázigos - portal sem esplenectomia por videolaparoscopia;0,0;AMBEP
Descorticação pulmonar;0,0;AMBEP
Descorticação pulmonar por videotoracoscopia;0,0;AMBEP
Desidrogenase alfa-hidroxibutírica;0,0;AMBEP
Desidrogenase glutâmica;0,0;AMBEP
Desidrogenase isocítrica;0,0;AMBEP
Desidrogenase láctica - isoenzimas fracionadas;0,0;AMBEP
Desidrogenase láctica, dosagem;11,04;AMBEP
Desinserção ou miotomia;0,0;AMBEP
Desobstrução brônquica com laser ou eletrocautério;0,0;AMBEP
Desobstrução brônquica por broncoaspiração;0,0;AMBEP
Desvascularização hepática;0,0;AMBEP
Desvios posturais da coluna vertebral;0,0;AMBEP
Detecção de consumo de oxigênio  (O2) por unidade de concentrado de plaquetas (por unidade de concentrado de plaquetas de doador múltiplo);0,0;AMBEP
Detecção de consumo de oxigênio (O2) por unidade de concentrado de plaquetas (por unidade de concentrado de plaquetas por aférese);0,0;AMBEP
Detecção intraoperatória radioguiada de lesões tumorais;0,0;AMBEP
Detecção intraoperatória radioguiada de linfonodo sentinela;0,0;AMBEP
Determinação da filtração glomerular;0,0;AMBEP
Determinação da sobrevida de hemácias;0,0;AMBEP
Determinação das pressões respiratórias máximas;0,0;AMBEP
Determinação de células CD34 CD 45 positivas - Citômetro de Fluxo;0,0;AMBEP
Determinação de conteúdo de DNA - Citômetro de Fluxo;0,0;AMBEP
Determinação do fator RH (D), incluindo prova para D-fraco no sangue do receptor;0,0;AMBEP
Determinação do fluxo plasmático renal;0,0;AMBEP
Determinação do risco fetal, com elaboração de laudo;0,0;AMBEP
Determinação do volume eritrocitário;0,0;AMBEP
Determinação do volume plasmático;0,0;AMBEP
Determinação dos volumes pulmonares por diluição de gases;0,0;AMBEP
Determinação dos volumes pulmonares por pletismografia;0,0;AMBEP
DIAFRAGMA;0,0;AMBEP
Diagnóstico genético pré-implantação por DNA, por sonda de FISH ou por primer de PCR, por amostra;0,0;AMBEP
Diagnóstico genético pré-implantação por fish, por sonda;0,0;AMBEP
Dialdeído malônico;0,0;AMBEP
Diálise peritoneal ambulatorial contínua (CAPD) 9 dias - treinamento;0,0;AMBEP
Diálise peritoneal ambulatorial contínua (CAPD) por mês/paciente;0,0;AMBEP
Diálise peritoneal automática (APD) - tratamento (agudo ou crônico);0,0;AMBEP
Diálise peritoneal automática por mês (agudo ou crônico);0,0;AMBEP
Diálise peritoneal intermitente - agudo ou crônico (por sessão);0,0;AMBEP
Diástase dos retos-abdominais - tratamento cirúrgico;0,0;AMBEP
DIGESTIVO - IN VIVO;0,0;AMBEP
Digitais (da face volar e látero-cubital dos dedos médio e anular da mão);0,0;AMBEP
Digital do hallux;0,0;AMBEP
Digitoxina ou digoxina;0,0;AMBEP
Dilatação de estenose laringo-traqueo-brônquica;0,0;AMBEP
Dilatação digital ou instrumental do ânus e/ou do reto;0,0;AMBEP
Dilatação do colo uterino;0,0;AMBEP
Dilatação endoscópica unilateral;0,0;AMBEP
Dilatação instrumental do esôfago, estômago ou duodeno;0,0;AMBEP
Dilatação instrumental e injeção de substância medicamentosa por endoscopia;0,0;AMBEP
Dilatação percutânea de estenose biliar cicatricial;0,0;AMBEP
Dilatação percutânea de estenose de conduto urinário;0,0;AMBEP
Dilatação percutânea de estenose de ducto pancreático;0,0;AMBEP
Dilatação uretral (sessão);0,0;AMBEP
Dímero D;0,0;AMBEP
Discografia;0,0;AMBEP
Disfunção vésico-uretral;0,0;AMBEP
Dismorfismo eritrocitário, pesquisa (contraste de fase);0,0;AMBEP
Dissecção de vaso umbilical com colocação de cateter;0,0;AMBEP
Dissecção de veia com colocação cateter venoso;0,0;AMBEP
Dissecção de veia em RN ou lactente;0,0;AMBEP
Dissecção do esôfago torácico (qualquer técnica);0,0;AMBEP
Dissecção muscular;0,0;AMBEP
Distorção de volvo por laparotomia;0,0;AMBEP
Distorção de volvo por via endoscópica;0,0;AMBEP
Distorção de volvo por videolaparoscopia;0,0;AMBEP
Distrofia simpático-reflexa;0,0;AMBEP
Distúrbios circulatórios artério-venosos e linfáticos;0,0;AMBEP
DIVERSOS;0,0;AMBEP
Diverticulectomia vesical;0,0;AMBEP
Diverticulectomia vesical laparoscópica;0,0;AMBEP
Divertículo de Meckel - exérese;0,0;AMBEP
Divertículo de Meckel - exérese por videolaparoscopia;0,0;AMBEP
Divertículo uretral - tratamento cirúrgico;0,0;AMBEP
Diverticulotomia;0,0;AMBEP
DNCB - teste de contato;0,0;AMBEP
Doação autóloga com recuperação intra-operatória;0,0;AMBEP
Doação autóloga peri-operatória por hemodiluição normovolêmica;0,0;AMBEP
Doação autóloga pré-operatória;0,0;AMBEP
Doenca de Hodgkin - estadiamento cirúrgico;0,0;AMBEP
Doença de Meniere - tratamento cirúrgico - descompressão do saco endolinfático ou shunt;0,0;AMBEP
Doença de Peyronie - tratamento cirúrgico;0,0;AMBEP
Doenças pulmonares atendidas em ambulatório;0,0;AMBEP
DOPPLER COLORIDO ARTERIAL DE MEMBRO INFERIO;0,0;AMBEP
Doppler colorido arterial de membro inferior - unilateral;240,0;AMBEP
DOPPLER COLORIDO ARTERIAL DE MEMBRO SUPERIO;0,0;AMBEP
Doppler colorido arterial de membro superior - unilateral;240,0;AMBEP
Doppler colorido de aorta e artérias renais;300,0;AMBEP
Doppler colorido de aorta e ilíacas;0,0;AMBEP
Doppler colorido de artérias penianas (sem fármaco indução);0,0;AMBEP
Doppler colorido de artérias viscerais (mesentéricas superior e inferior e tronco celíaco);0,0;AMBEP
Doppler colorido de hemangioma;0,0;AMBEP
DOPPLER COLORIDO DE ORGAO OU ESTRUTURA;0,0;AMBEP
Doppler colorido de órgão ou estrutura isolada;100,0;AMBEP
DOPPLER COLORIDO DE VASOS CERVICAIS ARTERIAIS - CAROTIDAS;0,0;AMBEP
Doppler colorido de vasos cervicais arteriais bilateral (carótidas e vertebrais);420,0;AMBEP
Doppler colorido de vasos cervicais venosos bilateral (subclávias e jugulares);0,0;AMBEP
Doppler colorido de veia cava superior ou inferior;0,0;AMBEP
Doppler colorido intra-operatório;0,0;AMBEP
Doppler colorido peniano com fármaco-indução;0,0;AMBEP
Doppler colorido transcraniano ou transfontanela;150,0;AMBEP
DOPPLER COLORIDO VENOSO DE MEMBRO INFERIOR;0,0;AMBEP
Doppler colorido venoso de membro inferior - unilateral;240,0;AMBEP
DOPPLER COLORIDO VENOSO DE MEMBRO SUPERIOR - UNILATE;0,0;AMBEP
Doppler colorido venoso de membro superior - unilateral;240,0;AMBEP
Doppler Convencional Transcraniano_x000D_;0,0;AMBEP
Dopplermetria dos cordões espermáticos;0,0;AMBEP
Dorsal do pé;0,0;AMBEP
Dorso curvo / escoliose / giba costal - tratamento cirúrgico;0,0;AMBEP
Dosagem de receptor de progesterona ou de estrogênio;0,0;AMBEP
Dosagem quantitativa de ácidos orgânicos, carnitina, perfil de acilcarnitina, ácidos graxos de cadeia muito longa, para o diagnóstico de erros inatos do metabolismo (perfil em uma amostra);0,0;AMBEP
Dosagem quantitativa de aminoácidos para o diagnóstico de erros inatos do metabolismo (perfil de aminoácidos numa amostra);0,0;AMBEP
Dosagem quantitativa de metabólitos na urina e/ou sangue para o diagnóstico de erros inatos do metabolismo (cada);0,0;AMBEP
Drenagem biliar trans-hepática;0,0;AMBEP
DRENAGEM C/CATETER PIG TAIL (RIO PARDO);0,0;AMBEP
Drenagem cavitária por laparoscopia;0,0;AMBEP
Drenagem cirúrgica do psoas;0,0;AMBEP
Drenagem de abscesso;0,0;AMBEP
Drenagem de abscesso;0,0;AMBEP
Drenagem de abscesso cervical profundo;0,0;AMBEP
Drenagem de abscesso de mama;0,0;AMBEP
Drenagem de abscesso pulmonar ou mediastinal;0,0;AMBEP
Drenagem de coleçoes viscerais ou cavitarias p/ cat;0,0;AMBEP
Drenagem de descolamento de coróide;0,0;AMBEP
Drenagem do pericárdio;0,0;AMBEP
Drenagem do pericárdio por vídeo;0,0;AMBEP
Drenagem e/ou aspiração de seroma;0,0;AMBEP
Drenagem estereotáxica - cistos, hematomas ou abscessos;0,0;AMBEP
Drenagem mediastinal orientada por RX ou TC;0,0;AMBEP
Drenagem percutânea de abscesso hepático ou pancreático;0,0;AMBEP
Drenagem percutânea de abscesso renal;0,0;AMBEP
Drenagem percutânea de abscesso retroperitoneal ou pélvico;0,0;AMBEP
Drenagem percutânea de cisto hepático ou pancreático;0,0;AMBEP
Drenagem percutânea de cisto renal;0,0;AMBEP
Drenagem percutânea de coleção infectada abdominal;0,0;AMBEP
Drenagem percutânea de coleção infectada profunda;0,0;AMBEP
Drenagem percutânea de coleção pleural;0,0;AMBEP
Drenagem percutânea de pneumotórax;0,0;AMBEP
Drenagem percutânea de via biliar;0,0;AMBEP
Drenagem percutânea não especificada;0,0;AMBEP
Drenagem percutânea orientada por RX (acrescentar o exame de base);0,0;AMBEP
Drenagem percutânea orientada por TC (acrescentar o exame de base);0,0;AMBEP
Drenagem percutânea orientada por US (acrescentar o exame de base);0,0;AMBEP
Drenagem tubular aberta de cavidade pulmonar;0,0;AMBEP
Drenagem tubular aberta de cavidade pulmonar por videotoracoscopia;0,0;AMBEP
Drogas (imunossupressora, anticonvulsivante, digitálico, etc.) cada;0,0;AMBEP
Ductografia (por mama);0,0;AMBEP
Dupla abdução ou Ducroquet;0,0;AMBEP
Duplicação do tubo digestivo - tratamento cirúrgico;0,0;AMBEP
Duplicação pieloureteral - tratamento cirúrgico;0,0;AMBEP
Dvd Obstetrico_x000D_;0,0;AMBEP
Dvd Us 4D_x000D_;0,0;AMBEP
ECG - TE;0,0;AMBEP
ECG convencional de até 12 derivações;70,0;AMBEP
ECG de alta resolução;0,0;AMBEP
Echovírus (painel) sorologia para;0,0;AMBEP
eco abdome total;0,0;AMBEP
Eco abdomen total com doppler;0,0;AMBEP
Eco bolsa escrotal com doppler;0,0;AMBEP
Eco doppler aorta abdominal (particular);0,0;AMBEP
Eco doppler obstétrico;0,0;AMBEP
Eco doppler porta abdominal (particular);0,0;AMBEP
ECO OBS/ENDOV PARA CROMOSSOPATIAS;0,0;AMBEP
ECO PELVICA (PUBERDADE PRECOCE);0,0;AMBEP
Eco renal/próstata (particular);0,0;AMBEP
ECOCARDIOGRAFIA TRANSTORÁCICA (ADULTO/INFANTIL);0,0;AMBEP
Ecodoppler de carótidas;0,0;AMBEP
Ecodoppler Vascular Periferico Convencional - Arterial_x000D_;0,0;AMBEP
Ecodoppler Vertebral - Convencional_x000D_;0,0;AMBEP
Ecodoppler Vertebral C/ Fluxo Em Cores - Bilateral_x000D_;0,0;AMBEP
Ecodopplercardiograma com contraste intracavitário;0,0;AMBEP
Ecodopplercardiograma com contraste para perfusão miocárdica;0,0;AMBEP
Ecodopplercardiograma com estresse farmacológico;0,0;AMBEP
Ecodopplercardiograma fetal com mapeamento de fluxo em cores;0,0;AMBEP
Ecodopplercardiograma transesofágico (inclui transtorácico);0,0;AMBEP
Ecodopplercardiograma transoperatório (transesofágico ou epicárdico) - por hora suplementar;0,0;AMBEP
Ecodopplercardiograma transoperatório (transesofágico ou epicárdico) (1ª hora);0,0;AMBEP
Ecodopplercardiograma transtorácico;250,0;AMBEP
ECODOPPLERCARDIOGRAMA TRANSTORÁCICO INFANTIL;300,0;AMBEP
Ecoendoscopia alta;0,0;AMBEP
Ecoendoscopia baixa;0,0;AMBEP
Ecoendoscopia com cistoenterostomia;0,0;AMBEP
Ecoendoscopia com neurólise de plexo celíaco;0,0;AMBEP
Ecoendoscopia com punção por agulha;0,0;AMBEP
Ecografia Abdome Superior com Doppler;0,0;AMBEP
ECOGRAFIA ABDOME SUPERIOR COM DOPPLER;0,0;AMBEP
Ecografia Abdome Total com Doppler;0,0;AMBEP
ECOGRAFIA ABDOMINAL SUPERIOR;0,0;AMBEP
ECOGRAFIA ABDOMINAL TOTAL;0,0;AMBEP
ECOGRAFIA APARELHO URINÁRIO;0,0;AMBEP
ECOGRAFIA ARTICULAÇÕES;0,0;AMBEP
ECOGRAFIA BOLSA ESCROTAL;0,0;AMBEP
ECOGRAFIA CRANIANA;0,0;AMBEP
ECOGRAFIA DE TIREÓIDE;0,0;AMBEP
ECOGRAFIA ENDOVAGINAL;0,0;AMBEP
ECOGRAFIA GLOBO OCULAR;0,0;AMBEP
ECOGRAFIA MAMÁRIA;0,0;AMBEP
ECOGRAFIA OBSTÉTRICA;0,0;AMBEP
Ecografia obstétrica 3D;0,0;AMBEP
Ecografia Obstétrica c/ PBF com Doppler;0,0;AMBEP
Ecografia Obstétrica c/tran. Nucal com Doppler;0,0;AMBEP
ECOGRAFIA OBSTÉTRICA COM DOPPLER COLORIDO;0,0;AMBEP
Ecografia Obstétrica Morfológica com Doppler;0,0;AMBEP
ECOGRAFIA PÉLVICA;0,0;AMBEP
ECOGRAFIA PRÓSTATA VIA ABDOMINAL;0,0;AMBEP
ECOGRAFIA PRÓSTATA VIA TRANSRETAL;0,0;AMBEP
ECOGRAFIA TÓRAX (EXTRACARDÍACO);0,0;AMBEP
EEG de rotina;250,0;AMBEP
EEG intra-operatório para monitorização cirúrgica (EEG/IO) - por hora de monitorização;0,0;AMBEP
EEGQ quantitativo (mapeamento cerebral);0,0;AMBEP
ELASTOGRAFIA HEPÁTICA ULTRASSÔNICA;600,0;AMBEP
Elefantíase peno-escrotal - tratamento cirúrgico;0,0;AMBEP
Eletrencefalograma em vigília, e sono espontâneo ou induzido;0,0;AMBEP
Eletrencefalograma especial: terapia intensiva, morte encefálica, EEG prolongado (até 2 horas);0,0;AMBEP
Eletrocoagulação de lesões cutâneas;0,0;AMBEP
Eletrocoagulação de lesões de pele e mucosas - com ou sem curetagem (por grupo de até 5 lesões);0,0;AMBEP
Eletrocoagulação endoscópica;0,0;AMBEP
Eletrococleografia (Ecochg);0,0;AMBEP
Eletrocorticografia intra-operatória (ECOG) - por hora de monitorização;0,0;AMBEP
ELETROENCENFALOGRAMA COM SEDAÇÃO;0,0;AMBEP
ELETROENCENFALOGRAMA EM VIGILIA E SONO ESPONTANEO;0,0;AMBEP
ELETROENCENFALOGRAMA QUANTITATIVO COM MAPEAMENTO;0,0;AMBEP
Eletroestimulação do assoalho pélvico e/ou outra técnica de exercícios perineais - por sessão;0,0;AMBEP
Eletroferese de proteínas;0,0;AMBEP
ELETROFISIOLÓGICOS / MÊCANICOS E FUNCIONAIS;0,0;AMBEP
Eletroforese de glicoproteínas;0,0;AMBEP
Eletroforese de hemoglobina por componente hemoterápico;0,0;AMBEP
